32, 82
33, 33
34, 34
35, 35
36, 36
37, 37
38, 38
39, 39
40, 40
41, 41
42, 42
43, 43
44, 81
45, 45
46, 77
47, 47
48, 48
49, 49
50, 50
51, 51
52, 52
53, 53
54, 54
55, 55
56, 56
57, 57
58, 58
59, 59
60, 60
61, 61
62, 62
63, 63
64, 64
65, 66
66, 88
67, 100
68, 103
69, 79
70, 71
71, 83
72, 113
73, 117
74, 107
75, 115
76, 111
77, 97
78, 112
79, 76
80, 98
81, 90
82, 122
83, 84
84, 110
85, 80
86, 87
87, 86
88, 108
89, 85
90, 118
91, 91
92, 92
93, 93
94, 94
95, 95
96, 96
97, 72
98, 44
99, 105
100, 119
101, 73
102, 106
103, 78
104, 70
105, 68
106, 32
107, 65
108, 75
109, 102
110, 99
111, 114
112, 109
113, 46
114, 116
115, 67
116, 104
117, 101
118, 69
119, 74
120, 121
121, 89
122, 120
123, 123
124, 124
125, 125
126, 126
127, 127
