32, 106
33, 33
34, 34
35, 35
36, 36
37, 37
38, 38
39, 39
40, 40
41, 41
42, 42
43, 43
44, 98
45, 45
46, 113
47, 47
48, 48
49, 49
50, 50
51, 51
52, 52
53, 53
54, 54
55, 55
56, 56
57, 57
58, 58
59, 59
60, 60
61, 61
62, 62
63, 63
64, 64
65, 107
66, 65
67, 115
68, 105
69, 118
70, 104
71, 70
72, 97
73, 101
74, 119
75, 108
76, 79
77, 46
78, 103
79, 69
80, 85
81, 44
82, 32
83, 71
84, 83
85, 89
86, 87
87, 86
88, 66
89, 121
90, 81
91, 91
92, 92
93, 93
94, 94
95, 95
96, 96
97, 77
98, 80
99, 110
100, 67
101, 117
102, 109
103, 68
104, 116
105, 99
106, 102
107, 74
108, 88
109, 112
110, 84
111, 76
112, 78
113, 72
114, 111
115, 75
116, 114
117, 73
118, 90
119, 100
120, 122
121, 120
122, 82
123, 123
124, 124
125, 125
126, 126
127, 127
